author,year,paper_title,doi,country,state_region,lat,lon,ecosystem,lake_area,system_type,predator_latin,predator_common,base_latin,base_common,dN_top,dN_base,tp_base,fcl,tef,lake_id,ecosystem_key,TP
"Fry, B.",1991,Stable Isotope Diagrams of Freshwater Food Webs,10.2307/1941580,USA,Alaska,68.632907,-149.605497,Toolik Lake,2.18,Lake,Salvelinus namaycush,Lake trout,Copepoda,Copepod,10.2,7,2,2.94,3.4,toolik lake,tooliklake,6
"Kling, G. W.",1994,The Use of Stable Isotopes in Fresh Waters,10.1021/ba-1994-0237.ch004,USA,Alaska,68.633333,-149.6,N2,0.26,Lake,Cottus cognatus,Slimy sculpin,Lymnaea elodes,Marsh pondsnail,8.8,1.5,2,4.15,3.4,n2,n2,NA
"Hobson, K.A. et al.",1995,Cannibalism and trophic structure in a high Arctic lake: insights from stable-isotope analysis,10.1139/f95-116,Canada,Nunavut,74.705674,-94.89838,Char Lake,1.72,Lake,Salvelinus alpinus,Arctic char,Limnocalanus,Limnocalanus,13.7,4.1,2,4.82,3.4,char lake,charlake,NA
"Kidd, K. A. et al.",1998,Bioaccumulation of organochlorines through a remote freshwater food web in the Canadian Arctic,10.1016/S0269-7491(98)00068-2,Canada,Keewatin,63.093752,-92.800636,Peter Lake,4.19,Lake,Salvelinus namaycush,Lake trout,Diura bicaudata,Medium stonefly,11.65,4.52,2,4.1,3.4,peter lake,peterlake,3
"Hesslein, R. H. et al.",1991,"Stable Isotopes of Sulfur, Carbon, and Nitrogen as Indicators of Trophic Level and Fish Migration in the Lower Mackenzie River Basin, Canada",10.1139/f91-265,Canada,NA,NA,NA,Lake 18,2.45,Lake,Coregonus clupeaformis,Lake whitefish,Amphipoda,Amphipods,12.68,6.62,2,3.78,3.4,lake 18,lake18,22
"Hesslein, R. H. et al.",1991,"Stable Isotopes of Sulfur, Carbon, and Nitrogen as Indicators of Trophic Level and Fish Migration in the Lower Mackenzie River Basin, Canada",10.1139/f91-265,Canada,Inuvik,67.70015,-131.783403,Travaillant Lake,4.06,Lake,Salvelinus namaycush,Lake trout,Amphipoda,Amphipods,13.9,4.9,2,4.65,3.4,travaillant lake,travaillantlake,10
"Campbell, L. M. et al.",2000,"Organochlorine transfer in the food web of subalpine Bow Lake, Banff National Park",10.1139/cjfas-57-6-1258,Canada,Alberta,51.671316,-116.459495,Bow Lake,2.45,Lake,Prosopium williamsoni,Mountain whitefish,Ephemeroptera,Mayfly (nymphs),6.7,1.72,2,3.47,3.4,bow lake,bowlake,4.6
"Kidd, K. A. et al.",1998,Effects of trophic position and lipid on organochlorine concentrations in fishes from subarctic lakes in Yukon Territory,10.1139/f97-307,Canada,Yukon,60.33371,-136.366743,Kusawa Lake,NA,Lake,Salvelinus namaycush,Lake trout,Mullusca,Mollusk,9.98,1.41,2,4.52,3.4,kusawa lake,kusawalake,3.6
"Kidd, K. A. et al.",1998,Effects of trophic position and lipid on organochlorine concentrations in fishes from subarctic lakes in Yukon Territory,10.1139/f97-307,Canada,Yukon,61.233333,-135.466667,Fox Lake,NA,Lake,Lota lota,Burbot,Mullusca,Mollusk,8.87,1.64,2,4.13,3.4,fox lake,foxlake,7.4
"Kidd, K. A. et al.",1998,Effects of trophic position and lipid on organochlorine concentrations in fishes from subarctic lakes in Yukon Territory,10.1139/f97-307,Canada,Yukon,61.183333,-135.2,Laberge Lake,4.3,Lake,Salvelinus namaycush,Lake trout,Mullusca,Mollusk,12.26,2.06,2,5,3.4,laberge lake,labergelake,5.1
"Gu, B. H. et al.",1997,Stable isotopes as indicators of carbon flows and trophic structure of the benthic food web in a subarctic lake,NA,NA,NA,NA,NA,Smith Lake,1.86,Lake,Erpobdella Montezuma,Segmented worm,NA,NA,8.5,3.42,2,3.49,3.4,smith lake,smithlake,NA
